Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
4x4grid,N/A,1,5.041173470236201_reward_max_goal,3,1e-06,0.0001,true,false,estimate,delta,true,	47,0.22,100.0,1257
4x4grid,N/A,1,5.041173470236201_reward_max_goal,3,1e-06,0.0001,true,true,estimate,delta,true,	49,0.239,100.0,1097
4x4grid,N/A,1,5.0411625003333_reward_max_goal,3,0,0.0001,true,true,estimate,delta,true,	49,0.303,100.0,1097
4x4grid,N/A,1,4.537500000300001_reward_max_goal,3,0,0.1,true,true,estimate,delta,true,	49,0.047,100.0,41
4x4grid,N/A,1,5.04161625033333_reward_max_goal,3,0,1e-05,true,true,estimate,delta,true,	49,0.904,100.0,3585
4x4grid,N/A,1,5.04161625033333_reward_max_goal,3,0,1e-05,true,false,estimate,delta,true,	47,0.888,100.0,4281
4x4grid,N/A,1,4.99125000033_reward_max_goal,3,0,0.01,true,true,estimate,delta,true,	49,0.067,100.0,121
4x4grid,N/A,1,4.537500000300001_reward_max_goal,3,0,0.1,true,false,estimate,delta,true,	47,0.044,100.0,41
4x4grid,N/A,1,5.0411625003333_reward_max_goal,3,0,0.0001,true,false,estimate,delta,true,	47,0.287,100.0,1257
4x4grid,N/A,1,4.99125000033_reward_max_goal,3,0,0.01,true,false,estimate,delta,true,	47,0.066,100.0,153
4x4grid,N/A,1,6.68722727305854_reward_max_goal,3,"0,0.8",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid,N/A,1,6.62042120454_reward_max_goal,3,"0,0.8",0.01,false,false,estimate,delta,true,	47,0.061,100.0,129
4x4grid,N/A,1,6.68722727305854_reward_max_goal,3,"0,0.8",1e-05,false,false,estimate,delta,true,	47,0.951,100.0,4553
4x4grid,N/A,1,6.68722727305854_reward_max_goal,3,"0,0.8",1e-05,true,true,estimate,delta,true,	49,1.473,100.0,3841
4x4grid,N/A,1,6.018564731400001_reward_max_goal,3,"0,0.8",0.1,false,false,estimate,delta,true,	47,0.04,100.0,25
4x4grid,N/A,1,6.018564731400001_reward_max_goal,3,"0,0.8",0.1,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid,N/A,1,6.6866254165854_reward_max_goal,3,"0,0.8",0.0001,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid,N/A,1,6.018564731400001_reward_max_goal,3,"0,0.8",0.1,true,false,estimate,delta,true,	47,0.058,100.0,25
4x4grid,N/A,1,6.018564731400001_reward_max_goal,3,"0,0.8",0.1,true,true,estimate,delta,true,	49,0.06,100.0,25
4x4grid,N/A,1,6.68722727305854_reward_max_goal,3,"0,0.8",1e-05,false,false,estimate,delta,true,	47,0.949,100.0,4553
4x4grid,N/A,1,6.62042120454_reward_max_goal,3,"0,0.8",0.01,false,false,estimate,delta,true,	47,0.062,100.0,129
4x4grid,N/A,1,6.62042120454_reward_max_goal,3,"0,0.8",0.01,true,true,estimate,delta,true,	49,0.093,100.0,105
4x4grid,N/A,1,6.018564731400001_reward_max_goal,3,"0,0.8",0.1,false,false,estimate,delta,true,	47,0.04,100.0,25
4x4grid,N/A,1,6.62042120454_reward_max_goal,3,"0,0.8",0.01,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid,N/A,1,6.68722727305854_reward_max_goal,3,"0,0.8",1e-05,true,false,estimate,delta,true,	47,0.952,100.0,4553
4x4grid,N/A,1,6.62042120454_reward_max_goal,3,"0,0.8",0.01,true,false,estimate,delta,true,	47,0.092,100.0,129
4x4grid,N/A,1,6.6866254165854_reward_max_goal,3,"0,0.8",0.0001,false,false,estimate,delta,true,	47,0.314,100.0,1385
4x4grid,N/A,1,6.6866254165854_reward_max_goal,3,"0,0.8",0.0001,true,true,estimate,delta,true,	49,0.58,100.0,1297
4x4grid,N/A,1,6.6866254165854_reward_max_goal,3,"0,0.8",0.0001,false,false,estimate,delta,true,	47,0.313,100.0,1385
4x4grid,N/A,1,6.6866254165854_reward_max_goal,3,"0,0.8",0.0001,true,false,estimate,delta,true,	47,0.468,100.0,1385
4x4grid,N/A,1,6.68722499008137_reward_max_goal,3,"0.2,1",1e-05,false,false,estimate,delta,true,	47,0.944,100.0,4433
4x4grid,N/A,1,6.68722499008137_reward_max_goal,3,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid,N/A,1,6.68722499008137_reward_max_goal,3,"0.2,1",1e-05,true,true,estimate,delta,true,	49,0.973,100.0,3841
4x4grid,N/A,1,6.018562676699999_reward_max_goal,3,"0.2,1",0.1,false,false,estimate,delta,true,	47,0.04,100.0,25
4x4grid,N/A,1,6.6866231338137_reward_max_goal,3,"0.2,1",0.0001,true,true,estimate,delta,true,	49,0.531,100.0,1297
