Model,Const,Mem,Prop,Param Region,Robust,BigStep Horizon,Time-Travelling,#States (after),Time (MC),% Known,# Regions
network2_priorities_dropped_packets,K=2 T=2 ,1,1.5_reward_min_goal,?,true,2,True,	400,ERR,ERR,ERR
newgrid,N=2 ,1,0.99_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",false,0,False,	32,32.131,99.99,10074
newgrid,N=2 ,1,0.99_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",true,0,False,	32,37.411,99.99,10074
newgrid,N=2 ,1,0.99_probability_max_notbad U goal,?,true,2,True,	39,ERR,ERR,ERR
refuel,N=4 ,1,0.05_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p9_0<=99/100,1/100<=p19_0<=99/100,1/100<=p21_0<=99/100,1/100<=p22_0<=99/100,1/100<=p23_0<=99/100,1/100<=p24_0<=99/100,1/100<=p25_0<=99/100,1/100<=p33_0<=99/100,1/100<=p35_0<=99/100,1/100<=p37_0<=99/100,1/100<=p38_0<=99/100,1/100<=p39_0<=99/100,1/100<=p43_0<=99/100,1/100<=p46_0<=99/100,1/100<=p47_0<=99/100,1/100<=p48_0<=99/100,1/100<=p49_0<=99/100,1/100<=p51_0<=99/100,1/100<=p53_0<=99/100,1/100<=p55_0<=99/100,1/100<=p57_0<=99/100",false,0,False,	84,ERR,ERR,ERR
refuel,N=4 ,1,0.05_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p9_0<=99/100,1/100<=p19_0<=99/100,1/100<=p21_0<=99/100,1/100<=p22_0<=99/100,1/100<=p23_0<=99/100,1/100<=p24_0<=99/100,1/100<=p25_0<=99/100,1/100<=p33_0<=99/100,1/100<=p35_0<=99/100,1/100<=p37_0<=99/100,1/100<=p38_0<=99/100,1/100<=p39_0<=99/100,1/100<=p43_0<=99/100,1/100<=p46_0<=99/100,1/100<=p47_0<=99/100,1/100<=p48_0<=99/100,1/100<=p49_0<=99/100,1/100<=p51_0<=99/100,1/100<=p53_0<=99/100,1/100<=p55_0<=99/100,1/100<=p57_0<=99/100",true,0,False,	84,ERR,ERR,ERR
refuel,N=4 ,1,0.05_probability_max_notbad U goal,?,true,2,True,	193,ERR,ERR,ERR
newgrid,N=5 ,1,0.99_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",false,0,False,	105,ERR,ERR,ERR
newgrid,N=5 ,1,0.99_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",true,0,False,	105,TO,TO,TO
newgrid,N=5 ,1,0.99_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",true,2,True,	548,ERR,ERR,ERR
newgrid,N=10 ,1,0.99_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",false,0,False,	360,108.069,99.99,1184
newgrid,N=10 ,1,0.99_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",true,0,False,	360,192.969,99.99,1184
newgrid,N=10 ,1,0.99_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",true,2,True,	2948,ERR,ERR,ERR
